Iteration,Distance,Best Distance,Worst Distance,Difference
01,4116.20551807616,4116.20551807616,4116.20551807616,0.0
02,3793.496971317061,3793.496971317061,4116.20551807616,322.70854675909914
03,3836.95320627727,3793.496971317061,4116.20551807616,322.70854675909914
04,3993.542641445662,3793.496971317061,4116.20551807616,322.70854675909914
05,3837.6009462808925,3793.496971317061,4116.20551807616,322.70854675909914
06,4031.7721312346757,3793.496971317061,4116.20551807616,322.70854675909914
07,3573.2801989076443,3573.2801989076443,4116.20551807616,542.9253191685157
08,4321.792029147872,3573.2801989076443,4321.792029147872,748.5118302402279
09,4264.3838704727095,3573.2801989076443,4321.792029147872,748.5118302402279
10,3438.3073146417446,3438.3073146417446,4321.792029147872,883.4847145061276
11,4144.99047095773,3438.3073146417446,4321.792029147872,883.4847145061276
12,4466.556874201683,3438.3073146417446,4466.556874201683,1028.2495595599385
13,3731.5586956204606,3438.3073146417446,4466.556874201683,1028.2495595599385
14,3554.914660052161,3438.3073146417446,4466.556874201683,1028.2495595599385
15,4131.150006514963,3438.3073146417446,4466.556874201683,1028.2495595599385
16,3961.3915565134694,3438.3073146417446,4466.556874201683,1028.2495595599385
17,3731.09391912407,3438.3073146417446,4466.556874201683,1028.2495595599385
18,3754.5051935044157,3438.3073146417446,4466.556874201683,1028.2495595599385
19,4044.5902193464935,3438.3073146417446,4466.556874201683,1028.2495595599385
20,4050.620317905128,3438.3073146417446,4466.556874201683,1028.2495595599385
